quantity,cutter,n_passes,mean_signed_error,residual_sd,lag1_autocorrelation,ljung_box_Q10,ljung_box_p,breusch_pagan_LM,breusch_pagan_p,brown_forsythe_W,brown_forsythe_p
Wear,C1,315,-6.394791224468885,20.12486251178275,0.9997072824830522,2780.3184511683776,0.0,37.94930904109154,7.260678013667445e-10,131.63552325720767,3.531865029133594e-42
Direct RUL head,C1,315,-35.436306210460735,18.162854377243935,0.9918491626597882,2390.904568336802,0.0,1.9223469346375075,0.1655981664282103,112.9537558885417,1.252361295434593e-37
Wear,C4,283,17.238096273674802,7.870391408601643,0.9979841132165147,2025.9152160125618,0.0,4.176013012422676,0.041000045458935624,49.28264358903658,4.59635958815561e-19
Direct RUL head,C4,283,30.76855311809666,21.770698315751858,0.995391510322846,2712.4484915878757,0.0,214.5579503572281,1.3915529465552858e-48,19.83177164136891,8.812296913078731e-09
Wear,C6,245,-23.13834919986948,8.092752215062243,0.9960238918324141,1270.6590591826146,8.211351173269794e-267,12.393378901480983,0.0004308588865916645,19.91340750926465,9.858241577143614e-09
Direct RUL head,C6,245,6.312072672542505,20.537141348452117,0.9945463869408471,1893.5127698915865,0.0,37.15028233011372,1.0936691116432691e-09,72.20762787268997,2.559135766558924e-25
